packageName, instability, abstractness, normalizedDistance, distance
org.apache.kafka.common.security.oauthbearer, 0.3488372093023256, 0.0, 0.6511627906976745, 0.4604416249586821
org.apache.kafka.streams.state, 0.7805343511450382, 0.05, 0.16946564885496174, 0.11983030948352172
org.apache.kafka.common.security.token.delegation, 0.6111111111111112, 0.0, 0.38888888888888884, 0.2749859704614351
org.apache.kafka.common.protocol, 0.5254629629629629, 0.0, 0.4745370370370371, 0.3355483568130608
org.apache.kafka.common.serialization, 0.9063545150501672, 0.0, 0.09364548494983282, 0.06621735743552956
org.apache.kafka.common.internals, 0.4225352112676056, 0.0, 0.5774647887323944, 0.40832926800913305
org.apache.kafka.common.security.scram, 0.625, 0.0, 0.375, 0.2651650429449553
org.apache.kafka.common.config, 0.6636085626911316, 0.0, 0.33639143730886845, 0.23786466645419024
org.apache.kafka.jmh.record, 0.0, 0.0, 1.0, 0.7071067811865475
org.apache.kafka.trogdor.agent, 0.06153846153846154, 0.0, 0.9384615384615385, 0.6635925177289138
org.apache.kafka.streams.test, 0.582089552238806, 0.0, 0.417910447761194, 0.2955073115406467
org.apache.kafka.common.record, 0.2520193861066236, 0.08641975308641975, 0.6615608608069566, 0.46779417084420866
org.apache.kafka.streams.integration.utils, 0.3211009174311927, 0.0, 0.6788990825688073, 0.4800541450257294
org.apache.kafka.clients.admin.internals, 0.038461538461538464, 0.0, 0.9615384615384616, 0.6799103665255264
org.apache.kafka.streams.processor.internals.metrics, 0.6545454545454545, 0.0, 0.34545454545454546, 0.24427325168262548
org.apache.kafka.clients, 0.2536231884057971, 0.0, 0.7463768115942029, 0.527768104798655
org.apache.kafka.common.annotation, 0.9702970297029703, 0.0, 0.02970297029702973, 0.02100317171841232
org.apache.kafka.connect.converters, 0.0, 0.13333333333333333, 0.8666666666666667, 0.6128258770283411
org.apache.kafka.clients.admin, 0.15055762081784388, 0.02158273381294964, 0.8278596453692064, 0.5853851691112563
org.apache.kafka.connect.runtime.rest.errors, 0.35, 0.0, 0.65, 0.4596194077712559
org.apache.kafka.streams.perf, 0.0, 0.0, 1.0, 0.7071067811865475
org.apache.kafka.connect.transforms.util, 0.5116279069767442, 0.0, 0.4883720930232558, 0.34533121871901157
org.apache.kafka.streams.examples.pageview, 0.0, 0.0, 1.0, 0.7071067811865475
org.apache.kafka.connect.transforms, 0.09641873278236915, 0.20454545454545456, 0.6990358126721763, 0.494292963432745
org.apache.kafka.connect.sink, 0.6266666666666667, 0.5, 0.1266666666666667, 0.08956685895029604
org.apache.kafka.common.security.oauthbearer.internals.unsecured, 0.03875968992248062, 0.0, 0.9612403100775194, 0.6796995416056736
org.apache.kafka.common.security.kerberos, 0.15584415584415584, 0.0, 0.8441558441558441, 0.5969083217808517
org.apache.kafka.common.security.plain, 0.5882352941176471, 0.0, 0.4117647058823529, 0.291161615782696
org.apache.kafka.clients.producer.internals.RecordAccumulator, 0.0, 0.0, 1.0, 0.7071067811865475
org.apache.kafka.connect.runtime.WorkerConfig, 0.0, 0.0, 1.0, 0.7071067811865475
org.apache.kafka.connect.runtime.rest, 0.07142857142857142, 0.0, 0.9285714285714286, 0.656599153958937
org.apache.kafka.trogdor.task, 0.5480769230769231, 0.1111111111111111, 0.3408119658119657, 0.24099045213515874
org.apache.kafka.common.errors, 0.968421052631579, 0.023529411764705882, 0.00804953560371513, 0.005691881210789518
org.apache.kafka.common.security.authenticator, 0.06068601583113457, 0.02702702702702703, 0.9122869571418384, 0.6450842937830351
org.apache.kafka.streams.processor.internals, 0.0938529088913282, 0.052980132450331126, 0.8531669586583407, 0.6032801419516155
org.apache.kafka.streams.examples.pipe, 0.0, 0.0, 1.0, 0.7071067811865475
org.apache.kafka.common.acl, 0.5363636363636364, 0.0, 0.4636363636363636, 0.32784041673194475
org.apache.kafka.common.config.internals, 0.8235294117647058, 0.0, 0.17647058823529416, 0.12478354962115547
org.apache.kafka.connect.data, 0.5604395604395604, 0.0, 0.43956043956043955, 0.31081616755452635
org.apache.kafka.log4jappender, 0.0, 0.0, 1.0, 0.7071067811865475
org.apache.kafka.connect.runtime.standalone, 0.0990990990990991, 0.3333333333333333, 0.5675675675675675, 0.40133087580858096
org.apache.kafka.connect.storage.KafkaConfigBackingStore, 0.0, 0.0, 1.0, 0.7071067811865475
org.apache.kafka.connect.rest, 0.6111111111111112, 0.0, 0.38888888888888884, 0.2749859704614351
org.apache.kafka.connect.storage, 0.20253164556962025, 0.03333333333333333, 0.7641350210970465, 0.5403250551598471
org.apache.kafka.connect.cli, 0.0, 0.0, 1.0, 0.7071067811865475
org.apache.kafka.connect.connector, 0.7849462365591398, 0.3333333333333333, 0.11827956989247301, 0.08363628594679587
org.apache.kafka.streams.tools, 0.0, 0.0, 1.0, 0.7071067811865475
org.apache.kafka.streams.examples.wordcount, 0.0, 0.0, 1.0, 0.7071067811865475
org.apache.kafka.streams.processor.internals.testutil, 0.7222222222222222, 0.0, 0.2777777777777778, 0.19641855032959654
org.apache.kafka.jmh.common, 0.0, 0.0, 1.0, 0.7071067811865475
org.apache.kafka.connect.source, 0.6438356164383562, 0.5, 0.14383561643835607, 0.10170713975970883
org.apache.kafka.trogdor.rest, 0.4050632911392405, 0.1, 0.49493670886075947, 0.349973103093595
org.apache.kafka.connect.errors, 0.9900990099009901, 0.0, 0.00990099009900991, 0.007001057239470774
org.apache.kafka.streams.integration, 0.0, 0.058823529411764705, 0.9411764705882353, 0.6655122646461623
org.apache.kafka.common.security.plain.internals, 0.09523809523809523, 0.0, 0.9047619047619048, 0.6397632782164001
